UC_AGENT_BASED
messagesSent
median
(1, 47.56)
(2, 55.13)
(3, 51.38)
(4, 49.13)
(5, 46.14)
(6, 44.74)
(7, 44.30)
(8, 42.85)
(9, 42.01)
(10, 41.54)
(11, 41.60)
(12, 41.68)
(13, 41.41)
(14, 40.77)
(15, 39.88)
(16, 39.94)
(17, 40.03)
(18, 40.92)
(19, 40.67)
(20, 41.26)
confidence interval upper bound
(1, 45.80)
(2, 54.17)
(3, 49.91)
(4, 47.57)
(5, 44.18)
(6, 43.37)
(7, 42.62)
(8, 41.71)
(9, 40.98)
(10, 40.74)
(11, 40.65)
(12, 40.26)
(13, 40.63)
(14, 40.20)
(15, 39.18)
(16, 39.08)
(17, 38.63)
(18, 38.75)
(19, 38.51)
(20, 39.87)
confidence interval lower bound
(1, 48.62)
(2, 55.50)
(3, 52.39)
(4, 49.86)
(5, 47.59)
(6, 45.37)
(7, 45.98)
(8, 43.23)
(9, 42.87)
(10, 42.85)
(11, 42.54)
(12, 42.62)
(13, 43.37)
(14, 41.45)
(15, 41.71)
(16, 41.64)
(17, 41.30)
(18, 41.73)
(19, 43.94)
(20, 45.34)
networkLoad
median
(1, 0.99)
(2, 0.85)
(3, 0.76)
(4, 0.72)
(5, 0.67)
(6, 0.63)
(7, 0.64)
(8, 0.60)
(9, 0.59)
(10, 0.58)
(11, 0.59)
(12, 0.57)
(13, 0.58)
(14, 0.56)
(15, 0.55)
(16, 0.55)
(17, 0.54)
(18, 0.55)
(19, 0.55)
(20, 0.57)
confidence interval upper bound
(1, 0.99)
(2, 0.82)
(3, 0.74)
(4, 0.69)
(5, 0.63)
(6, 0.62)
(7, 0.60)
(8, 0.59)
(9, 0.57)
(10, 0.57)
(11, 0.57)
(12, 0.55)
(13, 0.55)
(14, 0.55)
(15, 0.53)
(16, 0.53)
(17, 0.53)
(18, 0.53)
(19, 0.53)
(20, 0.54)
confidence interval lower bound
(1, 0.99)
(2, 0.86)
(3, 0.78)
(4, 0.73)
(5, 0.69)
(6, 0.65)
(7, 0.66)
(8, 0.61)
(9, 0.61)
(10, 0.60)
(11, 0.61)
(12, 0.59)
(13, 0.60)
(14, 0.58)
(15, 0.57)
(16, 0.57)
(17, 0.58)
(18, 0.58)
(19, 0.59)
(20, 0.62)
NCCCs
median
(1, 89.66)
(2, 104.65)
(3, 93.27)
(4, 89.44)
(5, 84.36)
(6, 85.06)
(7, 82.49)
(8, 81.25)
(9, 77.98)
(10, 80.19)
(11, 77.19)
(12, 72.95)
(13, 67.72)
(14, 72.61)
(15, 69.04)
(16, 69.13)
(17, 81.69)
(18, 73.09)
(19, 70.29)
(20, 63.54)
confidence interval upper bound
(1, 89.27)
(2, 107.58)
(3, 97.56)
(4, 94.58)
(5, 88.11)
(6, 87.21)
(7, 86.16)
(8, 82.10)
(9, 89.49)
(10, 89.26)
(11, 81.45)
(12, 80.58)
(13, 78.65)
(14, 85.32)
(15, 82.78)
(16, 79.14)
(17, 86.91)
(18, 84.66)
(19, 74.39)
(20, 80.18)
confidence interval lower bound
(1, 88.03)
(2, 101.43)
(3, 91.25)
(4, 85.03)
(5, 81.25)
(6, 80.50)
(7, 75.37)
(8, 75.06)
(9, 67.18)
(10, 73.13)
(11, 67.03)
(12, 64.18)
(13, 64.06)
(14, 67.36)
(15, 61.67)
(16, 64.66)
(17, 68.79)
(18, 63.25)
(19, 63.53)
(20, 58.40)
percentageOfVisitedNodes
median
(1, 0.60)
(2, 0.72)
(3, 0.73)
(4, 0.75)
(5, 0.75)
(6, 0.74)
(7, 0.78)
(8, 0.74)
(9, 0.74)
(10, 0.76)
(11, 0.76)
(12, 0.78)
(13, 0.73)
(14, 0.74)
(15, 0.77)
(16, 0.77)
(17, 0.74)
(18, 0.72)
(19, 0.75)
(20, 0.73)
confidence interval upper bound
(1, 0.61)
(2, 0.73)
(3, 0.74)
(4, 0.75)
(5, 0.74)
(6, 0.76)
(7, 0.78)
(8, 0.81)
(9, 0.77)
(10, 0.79)
(11, 0.79)
(12, 0.78)
(13, 0.76)
(14, 0.77)
(15, 0.78)
(16, 0.79)
(17, 0.78)
(18, 0.80)
(19, 0.79)
(20, 0.81)
confidence interval lower bound
(1, 0.59)
(2, 0.70)
(3, 0.73)
(4, 0.74)
(5, 0.73)
(6, 0.74)
(7, 0.73)
(8, 0.72)
(9, 0.74)
(10, 0.71)
(11, 0.75)
(12, 0.75)
(13, 0.73)
(14, 0.72)
(15, 0.76)
(16, 0.76)
(17, 0.73)
(18, 0.68)
(19, 0.70)
(20, 0.70)
CPU time
median
(1, 18.49)
(2, 10.52)
(3, 11.96)
(4, 12.38)
(5, 11.22)
(6, 11.73)
(7, 11.56)
