UC_AGENT_BASED
percentageOfVisitedNodes
median
(1, 1.67)
(2, 1.39)
(3, 1.36)
(4, 1.34)
(5, 1.34)
(6, 1.35)
(7, 1.28)
(8, 1.36)
(9, 1.34)
(10, 1.32)
(11, 1.31)
(12, 1.29)
(13, 1.36)
(14, 1.36)
(15, 1.30)
(16, 1.30)
(17, 1.35)
(18, 1.39)
(19, 1.34)
(20, 1.37)
confidence interval upper bound
(1, 1.63)
(2, 1.37)
(3, 1.35)
(4, 1.33)
(5, 1.35)
(6, 1.31)
(7, 1.28)
(8, 1.24)
(9, 1.30)
(10, 1.26)
(11, 1.26)
(12, 1.28)
(13, 1.31)
(14, 1.29)
(15, 1.28)
(16, 1.26)
(17, 1.28)
(18, 1.25)
(19, 1.27)
(20, 1.23)
confidence interval lower bound
(1, 1.69)
(2, 1.43)
(3, 1.37)
(4, 1.34)
(5, 1.36)
(6, 1.36)
(7, 1.37)
(8, 1.40)
(9, 1.36)
(10, 1.40)
(11, 1.33)
(12, 1.34)
(13, 1.38)
(14, 1.39)
(15, 1.32)
(16, 1.32)
(17, 1.37)
(18, 1.46)
(19, 1.43)
(20, 1.43)
UC_NDCS
percentageOfVisitedNodes
median
(1, 1.99)
(2, 1.68)
(3, 1.52)
(4, 1.54)
(5, 1.58)
(6, 1.65)
(7, 1.58)
(8, 1.56)
(9, 1.62)
(10, 1.63)
(11, 1.63)
(12, 1.66)
(13, 1.58)
(14, 1.58)
(15, 1.59)
(16, 1.62)
(17, 1.60)
(18, 1.57)
(19, 1.68)
(20, 1.53)
confidence interval upper bound
(1, 1.85)
(2, 1.61)
(3, 1.49)
(4, 1.50)
(5, 1.56)
(6, 1.60)
(7, 1.51)
(8, 1.54)
(9, 1.60)
(10, 1.64)
(11, 1.62)
(12, 1.64)
(13, 1.59)
(14, 1.53)
(15, 1.56)
(16, 1.56)
(17, 1.61)
(18, 1.65)
(19, 1.71)
(20, 1.57)
confidence interval lower bound
(1, 2.11)
(2, 1.74)
(3, 1.60)
(4, 1.59)
(5, 1.58)
(6, 1.68)
(7, 1.61)
(8, 1.61)
(9, 1.61)
(10, 1.64)
(11, 1.60)
(12, 1.66)
(13, 1.63)
(14, 1.58)
(15, 1.60)
(16, 1.58)
(17, 1.58)
(18, 1.55)
(19, 1.58)
(20, 1.54)
